,Size
3,1
20,1
36,1
38,1
107,1
149,1
173,1
222,1
229,1
231,1
239,1
241,1
242,1
244,1
246,1
250,1
252,1
253,1
254,1
312,1
328,1
329,3
330,1
333,2
334,1
335,1
336,4
337,1
338,1
339,1
340,1
341,1
343,1
345,1
346,1
347,59
349,3
350,1
351,1
353,1
357,1
359,1
361,1
434,1
435,1
455,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
517,1
520,1
521,1
523,1
524,1
527,1
529,1
594,1
627,1
636,1
637,1
673,1
681,1
701,1
703,1
765,1
766,1
774,1
803,1
810,1
826,1
832,1
849,1
852,1
986,1
995,1
996,1
1001,1
1002,1
1003,1
1042,1
1051,1
1052,1
1056,1
1067,1
1071,1
1079,1
1087,1
1088,1
1126,1
1132,1
1179,1
1180,1
1191,1
1197,1
1208,1
1217,1
1253,1
1262,1
1279,1
1281,16
1304,1
1309,1
1310,1
1311,1
1353,1
1373,1
1391,1
1398,1
1412,1
1414,1
1420,1
1422,1
1423,1
1426,1
1431,1
1446,1
1462,1
1500,1
1516,1
1521,1
1522,1
1523,1
1541,1
1542,1
1546,1
1547,1
1555,1
1559,1
1562,1
1568,1
1579,1
1582,1
1584,46
1598,1
1613,1
1617,1
1637,1
1644,1
1645,1
1646,1
1647,1
1648,1
1650,1
1651,1
1652,1
1653,1
1655,1
1668,1
1693,1
1698,1
1702,1
1731,14
1755,1
1757,1
1774,1
1801,1
1809,13
1813,1
1825,1
1850,1
1876,1
1888,1
1890,1
1891,1
1892,1
1894,1
1895,1
1897,1
1898,1
1899,1
1900,1
1901,1
1903,1
1904,5
1907,1
1933,1
1949,1
1951,1
1956,1
1983,1
1985,18
1992,1
1993,1
1995,1
2000,1
2001,1
2002,1
2003,1
2004,1
2030,1
2034,1
2035,1
2038,1
2039,1
2040,1
2135,1
2154,1
2161,12
2164,1
2179,1
2180,1
2185,1
2188,1
2193,1
2195,1
2197,1
2212,1
2219,1
2224,1
2227,1
2228,1
2232,1
2240,1
2253,1
2254,2
2257,1
2290,1
2308,1
2310,1
2311,3
2314,1
2316,1
2335,1
2358,1
2372,1
2374,1
2375,1
2376,1
2377,1
2379,1
2380,1
2381,1
2382,1
2386,1
2400,1
2412,1
2446,1
2451,1
2453,1
2459,1
2462,1
2463,1
2464,1
2496,1
2499,1
2500,1
2501,1
2502,1
2504,1
2507,1
2512,1
2514,1
2517,1
2519,1
2520,1
2523,6
2542,1
2546,1
2556,1
2577,1
2683,1
2684,1
2686,1
2689,1
2716,1
2719,1
2721,1
2722,1
2724,1
2726,1
2728,1
2731,1
2734,1
2749,1
2782,1
2786,1
2788,1
2789,1
2795,1
2796,1
2800,1
2803,1
2806,1
2826,1
2829,1
2831,1
2832,1
2834,1
2835,1
2836,1
2837,1
2838,1
2839,1
2842,1
2845,1
2846,1
2850,4
3072,1
3073,1
3074,1
3075,1
3076,1
3077,1
3078,1
3080,1
3081,1
3082,1
3083,1
3084,1
3090,6
3092,1
3112,1
3121,1
3125,1
3126,1
3129,1
3130,1
3157,1
3178,1
3214,1
3217,1
3225,1
3226,1
3231,1
3234,1
3239,1
3244,1
3246,1
3274,1
3279,1
3280,1
3281,1
3293,10
3316,1
3317,1
3318,1
3319,1
3320,1
3321,1
3322,1
3323,1
3324,1
3325,1
3326,1
3327,1
3328,1
3329,1
3330,1
3331,1
3343,1
3344,1
3345,1
3346,1
3349,1
3350,1
3518,1
3603,1
3608,1
3615,1
3622,1
3639,11
3642,1
3645,1
3654,1
3676,1
3677,1
3679,1
3683,1
3687,16
3702,1
3710,5
3715,1
3725,1
3726,1
3729,1
3731,1
3733,1
3738,1
3742,1
3743,1
3744,1
3798,1
3819,1
3932,1
3936,18
3945,1
3950,1
3953,1
3957,1
3963,1
4016,1
4019,1
4023,1
4039,1
4076,1
4084,1
