,Size
3,1
20,8
36,1
38,1
107,1
149,1
173,1
222,1
229,1
231,1
239,1
241,1
242,1
244,1
250,1
312,2
328,1
335,1
337,1
338,1
339,1
340,1
341,1
346,1
350,18
351,2
361,1
365,6
434,1
435,1
455,1
494,1
497,1
499,1
500,1
505,1
511,1
514,1
517,1
520,2
521,2
524,2
527,2
529,2
594,1
637,1
673,1
681,1
701,2
765,1
766,1
774,2
803,1
810,1
826,1
852,1
986,1
995,1
996,1
1001,1
1002,1
1003,1
1042,1
1051,1
1052,1
1056,1
1067,1
1071,1
1079,1
1087,1
1088,1
1126,1
1132,2
1179,1
1191,1
1208,1
1262,1
1269,16
1279,1
1304,95
1309,1
1310,1
1311,1
1353,1
1373,1
1391,1
1398,1
1412,1
1414,1
1420,2
1423,1
1426,1
1431,1
1446,1
1462,1
1500,2
1516,1
1523,8
1542,1
1555,1
1559,1
1562,1
1568,1
1579,1
1582,1
1598,1
1613,1
1617,1
1637,1
1644,1
1645,1
1646,1
1647,1
1648,1
1650,1
1651,1
1652,1
1653,1
1668,1
1693,1
1698,1
1755,1
1757,1
1774,1
1801,1
1825,1
1850,1
1876,1
1888,1
1890,1
1892,1
1894,1
1895,1
1897,1
1898,1
1899,1
1900,1
1901,1
1951,21
1956,1
1985,18
1992,1
1993,1
1995,1
2000,2
2002,1
2003,1
2004,2
2030,1
2034,1
2035,1
2038,1
2039,1
2040,1
2185,32
2193,1
2195,1
2212,3
2219,2
2224,1
2227,1
2228,1
2232,1
2240,1
2308,4
2311,5
2314,1
2316,1
2358,1
2372,1
2374,1
2375,1
2377,1
2379,2
2380,1
2381,1
2400,2
2412,1
2446,1
2451,1
2453,1
2462,1
2463,2
2464,1
2496,1
2499,2
2500,1
2502,1
2507,1
2512,1
2514,1
2517,1
2519,1
2520,1
2546,1
2577,1
2683,1
2684,1
2686,1
2689,1
2716,1
2719,1
2721,1
2722,1
2724,1
2726,1
2728,1
2731,1
2782,4
2786,1
2788,1
2789,1
2795,1
2796,1
2800,1
2803,1
2806,1
2829,1
2831,1
2832,1
2834,1
2835,1
2836,1
2838,1
2839,1
2842,1
2845,1
2846,1
2850,5
3073,1
3074,11
3075,1
3076,1
3077,1
3080,1
3083,1
3084,1
3088,12
3092,1
3112,1
3125,1
3126,1
3129,1
3130,1
3157,2
3178,2
3214,1
3217,1
3225,1
3226,1
3231,1
3234,1
3239,1
3246,1
3274,1
3281,2
3287,10
3608,1
3615,80
3622,1
3642,12
3654,1
3676,1
3677,1
3679,1
3710,5
3725,1
3726,1
3729,1
3731,1
3733,1
3738,1
3742,1
3743,2
3744,1
3750,2
3798,1
3932,1
3934,22
3945,1
3953,88
3963,1
4016,1
4023,1
4039,1
4049,8
4076,1
4088,1
4133,1
4141,1
4218,1
4232,1
4242,1
4243,1
4244,1
4245,1
4264,3
4288,1
4295,1
4296,1
4298,1
4300,1
4301,1
4302,1
4303,1
4305,1
4307,1
4308,1
4327,1
4330,1
4335,1
4406,4
4407,1
4408,1
4410,5
4465,1
4471,18
4474,1
4525,1
4550,1
4569,1
4576,1
4595,1
4600,2
4658,1
4662,1
4664,1
4666,1
4668,1
4670,1
4672,1
4673,1
4674,1
4676,1
4678,1
4679,1
4681,2
4682,1
4693,1
4695,1
4696,1
4697,1
4698,1
4699,1
4700,1
4701,1
4702,2
4704,1
4713,1
4752,1
4760,17
4796,1
4825,1
4835,1
4836,1
4840,1
4862,1
4973,1
4980,1
5022,1
5026,1
5030,1
5077,1
5078,2
5084,21
5086,1
5088,1
5089,1
5090,1
5092,1
